customer_id,gender,birth_year,city,registration_date,acquisition_channel,birth_year_missing_flag,registration_date_clean,transaction_count,total_revenue,avg_order_value,total_discount_rate,avg_discount_rate,total_items_bought,avg_items_per_order,n_unique_stores,first_purchase_date,last_purchase_date,support_ticket_count,resolved_rate,pending_ticket_count,avg_satisfaction_score,last_support_date,campaign_count,open_rate,click_rate,total_offer_value,last_campaign_date
C00001,F,1979.0,Hải Phòng,2024-05-24,Facebook,0,2024-05-24,10.0,81962050.0,8196205.0,1.05,0.10500000000000001,43.0,4.3,6.0,2024-06-04,2026-02-01,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,40000.0,2025-04-12
C00002,M,1990.0,Biên Hòa,2025-04-06,Referral,0,2025-04-06,12.0,230204400.0,19183700.0,0.8999999999999999,0.075,82.0,6.833333333333333,9.0,2025-04-17,2026-03-10,0.0,0.0,0.0,0.0,,3.0,0.3333333333333333,0.0,70000.0,2025-12-13
C00003,F,1987.0,,2023-08-11,Shopee,0,2023-08-11,13.0,52317400.0,4024415.3846153845,1.15,0.08846153846153845,58.0,4.461538461538462,11.0,2023-09-09,2026-03-01,1.0,1.0,0.0,5.0,2023-10-02,6.0,0.3333333333333333,0.16666666666666666,125000.0,2026-02-16
C00004,F,1966.0,TP.HCM,2025-04-26,Referral,0,2025-04-26,6.0,131854050.0,21975675.0,0.4,0.06666666666666667,44.0,7.333333333333333,6.0,2025-05-10,2026-03-21,3.0,0.6666666666666666,1.0,5.0,2025-06-12,5.0,0.4,0.2,105000.0,2026-03-15
C00005,F,1967.0,TP.HCM,,Shopee,0,,10.0,99898600.0,9989860.0,1.25,0.125,67.0,6.7,9.0,2024-04-23,2026-02-13,3.0,1.0,0.0,3.3333333333333335,2024-06-03,2.0,0.0,0.0,5000.0,2025-10-02
C00006,F,1992.0,Vũng Tàu,2024-05-19,Google,0,2024-05-19,18.0,323693050.0,17982947.222222224,1.2,0.06666666666666667,134.0,7.444444444444445,9.0,2024-06-24,2026-03-04,4.0,0.75,1.0,4.666666666666667,2024-07-29,1.0,0.0,0.0,0.0,2025-03-12
C00007,M,1981.0,Hà Nội,2024-06-29,Shopee,0,2024-06-29,12.0,185535600.0,15461300.0,1.45,0.12083333333333333,81.0,6.75,11.0,2024-11-27,2026-02-03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
C00008,M,1986.0,Nha Trang,2023-06-02,Google,1,2023-06-02,13.0,54633350.0,4202565.384615385,1.3,0.1,27.0,2.076923076923077,11.0,2023-06-24,2026-02-23,0.0,0.0,0.0,0.0,,3.0,0.6666666666666666,0.3333333333333333,75000.0,2026-01-31
C00009,F,2004.0,Biên Hòa,2025-04-11,Google,0,2025-04-11,16.0,268091900.0,16755743.75,1.05,0.065625,88.0,5.5,12.0,2025-05-19,2026-03-24,1.0,0.0,0.0,4.0,2025-06-22,1.0,1.0,1.0,50000.0,2025-06-16
C00010,F,1997.0,Cần Thơ,2025-06-07,Shopee,0,2025-06-07,15.0,184321950.0,12288130.0,1.9,0.12666666666666665,88.0,5.866666666666666,10.0,2025-06-26,2026-03-17,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
C00011,F,1983.0,Bắc Ninh,2024-04-30,Zalo,0,2024-04-30,12.0,366728000.0,30560666.666666668,0.2,0.016666666666666666,91.0,7.583333333333333,9.0,2024-06-17,2026-02-15,2.0,1.0,0.0,1.0,2024-08-10,2.0,0.5,0.0,0.0,2025-06-19
C00012,F,1989.0,Buôn Ma Thuột,2023-12-14,Zalo,0,2023-12-14,5.0,109946950.0,21989390.0,0.05,0.01,41.05,8.209999999999999,5.0,2023-12-15,2026-01-06,0.0,0.0,0.0,0.0,,3.0,0.3333333333333333,0.0,30000.0,2025-09-16
C00013,F,1990.0,Bắc Ninh,2025-02-20,Facebook,0,2025-02-20,10.0,142558950.0,14255895.0,1.1,0.11000000000000001,70.0,7.0,10.0,2025-05-15,2026-03-05,0.0,0.0,0.0,0.0,,3.0,0.6666666666666666,0.0,10000.0,2026-03-25
C00014,F,1978.0,Nha Trang,2024-04-07,Walk-in,0,2024-04-07,14.0,524159300.0,37439950.0,2.0,0.14285714285714285,76.0,5.428571428571429,10.0,2024-06-11,2026-03-05,2.0,0.5,0.0,2.5,2024-08-05,2.0,1.0,1.0,100000.0,2025-08-19
C00015,F,1993.0,Buôn Ma Thuột,2024-09-19,TikTok,0,2024-09-19,11.0,144813100.0,13164827.272727273,1.2,0.10909090909090909,94.0,8.545454545454545,9.0,2024-10-14,2026-01-01,1.0,0.0,1.0,0.0,2024-10-18,4.0,0.0,0.0,80000.0,2026-02-23
C00016,F,1975.0,Buôn Ma Thuột,2024-11-05,Google,0,2024-11-05,12.0,198666750.0,16555562.5,1.05,0.08750000000000001,72.0,6.0,9.0,2024-12-01,2026-03-23,3.0,0.0,1.0,1.5,2025-01-29,4.0,0.25,0.25,0.0,2026-03-20
C00017,F,1970.0,Khác,2024-03-17,TikTok,0,2024-03-17,11.0,163526200.0,14866018.181818182,1.1,0.1,68.0,6.181818181818182,9.0,2024-07-10,2026-02-28,1.0,0.0,1.0,0.0,2024-09-03,1.0,0.0,0.0,0.0,2025-04-29
C00018,F,1979.0,Khác,2025-04-19,TikTok,0,2025-04-19,12.0,115781050.0,9648420.833333334,0.95,0.07916666666666666,76.0,6.333333333333333,12.0,2025-06-10,2026-03-10,1.0,1.0,0.0,4.0,2025-08-09,1.0,1.0,1.0,0.0,2026-01-06
C00019,,1967.0,Hải Phòng,2023-10-29,Website,0,2023-10-29,10.0,343268800.0,34326880.0,0.35,0.034999999999999996,103.0,10.3,8.0,2023-11-20,2026-03-23,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,50000.0,2025-03-10
C00020,M,1994.0,Nha Trang,2025-02-15,TikTok,0,2025-02-15,15.0,163280100.0,10885340.0,0.8500000000000001,0.05666666666666667,100.0,6.666666666666667,14.0,2025-02-16,2026-01-30,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,30000.0,2026-02-13
C00021,F,1996.0,Nha Trang,2025-06-05,TikTok,0,2025-06-05,16.0,428566200.0,26785387.5,1.25,0.078125,88.0,5.5,11.0,2025-06-09,2026-03-19,0.0,0.0,0.0,0.0,,3.0,0.6666666666666666,0.3333333333333333,0.0,2026-03-15
C00022,,1971.0,Khác,2023-10-30,Shopee,0,2023-10-30,9.0,164167050.0,18240783.333333332,1.1,0.12222222222222223,53.0,5.888888888888889,8.0,2024-04-21,2025-12-17,1.0,0.0,0.0,2.0,2024-04-26,3.0,0.3333333333333333,0.0,10000.0,2025-11-30
