customer_id,gender,birth_year,city,acquisition_channel,last_purchase_date,first_purchase_date,frequency,monetary,avg_order_value,recency_days,customer_lifetime_days,n_unique_categories,n_unique_brands,favorite_brand,avg_item_price,avg_line_amount,discount_usage_rate,n_transactions
C00001,F,1979.0,Hải Phòng,Facebook,2026-02-01,2024-06-04,10.0,81962050.0,8196205.0,53.0,607.0,6.0,12.0,Generic,3274944.4444444445,5100470.588235294,0.5,10.0
C00002,M,1990.0,Biên Hòa,Referral,2026-03-10,2025-04-17,12.0,230204400.0,19183700.0,16.0,327.0,6.0,14.0,Nike,3035407.407407407,9632280.0,0.3333333333333333,12.0
C00003,F,1987.0,,Shopee,2026-03-01,2023-09-09,13.0,52317400.0,4024415.3846153845,25.0,904.0,6.0,10.0,Local Brand,981761.9047619047,2898050.0,0.46153846153846156,13.0
C00004,F,1966.0,TP.HCM,Referral,2026-03-21,2025-05-10,6.0,131854050.0,21975675.0,5.0,315.0,6.0,11.0,Local Brand,2920000.0,10318928.57142857,0.6666666666666666,6.0
C00005,F,1967.0,TP.HCM,Shopee,2026-02-13,2024-04-23,10.0,99898600.0,9989860.0,41.0,661.0,5.0,12.0,Adidas,2122047.619047619,4952380.952380952,0.5,10.0
C00006,F,1992.0,Vũng Tàu,Google,2026-03-04,2024-06-24,18.0,323693050.0,17982947.222222224,22.0,618.0,6.0,14.0,Generic,3123256.4102564105,9126342.105263159,0.5,18.0
C00007,M,1981.0,Hà Nội,Shopee,2026-02-03,2024-11-27,12.0,185535600.0,15461300.0,51.0,433.0,5.0,14.0,Local Brand,2584520.0,8669375.0,0.5833333333333334,12.0
C00008,M,1986.0,Nha Trang,Google,2026-02-23,2023-06-24,13.0,54633350.0,4202565.384615385,31.0,975.0,6.0,10.0,Generic,2177368.4210526315,4893769.230769231,0.5384615384615384,13.0
C00009,F,2004.0,Biên Hòa,Google,2026-03-24,2025-05-19,16.0,268091900.0,16755743.75,2.0,309.0,6.0,17.0,Anker,3401705.882352941,9071233.333333334,0.375,16.0
C00010,F,1997.0,Cần Thơ,Shopee,2026-03-17,2025-06-26,15.0,184321950.0,12288130.0,9.0,264.0,6.0,14.0,Generic,2074766.6666666667,7234851.851851852,0.5333333333333333,15.0
C00011,F,1983.0,Bắc Ninh,Zalo,2026-02-15,2024-06-17,12.0,366728000.0,30560666.666666668,39.0,608.0,6.0,13.0,Generic,3553000.0,12987275.862068966,0.16666666666666666,12.0
C00012,F,1989.0,Buôn Ma Thuột,Zalo,2026-01-06,2023-12-15,5.0,109946950.0,21989390.0,79.0,753.0,6.0,7.0,Panasonic,2271083.3333333335,9174083.333333334,0.2,5.0
C00013,F,1990.0,Bắc Ninh,Facebook,2026-03-05,2025-05-15,10.0,142558950.0,14255895.0,21.0,294.0,5.0,14.0,Zara,2439260.8695652173,6969047.619047619,0.5,10.0
C00014,F,1978.0,Nha Trang,Walk-in,2026-03-05,2024-06-11,14.0,524159300.0,37439950.0,21.0,632.0,5.0,12.0,Samsung,5949692.307692308,28596000.0,0.6428571428571429,14.0
C00015,F,1993.0,Buôn Ma Thuột,TikTok,2026-01-01,2024-10-14,11.0,144813100.0,13164827.272727273,84.0,444.0,6.0,14.0,Local Brand,2234961.5384615385,5940307.692307692,0.6363636363636364,11.0
C00016,F,1975.0,Buôn Ma Thuột,Google,2026-03-23,2024-12-01,12.0,198666750.0,16555562.5,3.0,477.0,6.0,15.0,Innisfree,2532966.6666666665,7459678.571428572,0.5,12.0
C00017,F,1970.0,Khác,TikTok,2026-02-28,2024-07-10,11.0,163526200.0,14866018.181818182,26.0,598.0,6.0,16.0,Sony,3352130.434782609,7946217.391304348,0.5454545454545454,11.0
C00018,F,1979.0,Khác,TikTok,2026-03-10,2025-06-10,12.0,115781050.0,9648420.833333334,16.0,273.0,5.0,13.0,Vinamilk,1608961.5384615385,5412826.0869565215,0.5833333333333334,12.0
C00019,,1967.0,Hải Phòng,Website,2026-03-23,2023-11-20,10.0,343268800.0,34326880.0,3.0,854.0,6.0,11.0,Local Brand,3803533.3333333335,24313666.666666668,0.2,10.0
C00020,M,1994.0,Nha Trang,TikTok,2026-01-30,2025-02-16,15.0,163280100.0,10885340.0,55.0,348.0,6.0,14.0,Samsung,2218085.714285714,5799969.696969697,0.4,15.0
