transaction_id,customer_id,transaction_date,store_id,payment_method,discount_applied,transaction_date_clean
T000001,C00301,2025-01-01,S018,Bank Transfer,0.2,2025-01-01
T000002,C00109,2026-01-07,S014,VNPay,0.0,2026-01-07
T000003,C00008,2024-11-29,S007,ZaloPay,0.0,2024-11-29
T000004,C00754,2025-02-26,S010,Cash,0.15,2025-02-26
T000005,C00268,2025-06-29,S023,ZaloPay,0.05,2025-06-29
T000006,C00627,2025-10-15,S008,VNPay,0.2,2025-10-15
T000007,C00055,2025-01-02,S009,Credit Card,0.0,2025-01-02
T000008,C00042,2024-08-14,S020,VNPay,,2024-08-14
T000009,C00682,2025-07-21,S012,ZaloPay,,2025-07-21
T000010,C00667,2026-03-06,S003,Momo,0.15,2026-03-06
T000011,C00029,2025-07-29,S007,ZaloPay,0.0,2025-07-29
T000012,C00245,2025-07-17,S002,Bank Transfer,0.0,2025-07-17
T000013,C00093,2024-09-17,S010,Momo,0.15,2024-09-17
T000014,C00143,2026-01-04,S010,Momo,0.0,2026-01-04
T000015,C00009,2026-03-20,S007,Momo,0.25,2026-03-20
T000016,C00107,2026-03-16,S023,VNPay,0.05,2026-03-16
T000017,C00140,2024-11-24,S003,Momo,0.0,2024-11-24
T000018,C00351,2025-06-08,S021,ZaloPay,0.05,2025-06-08
T000019,C00394,2025-12-07,S001,VNPay,0.3,2025-12-07
T000020,C00109,2024-10-03,S003,Credit Card,0.15,2024-10-03
T000021,C00085,2025-04-28,S001,VNPay,0.0,2025-04-28
T000022,C00082,2025-07-12,S005,,0.25,2025-07-12
T000023,C00164,2025-05-17,S010,VNPay,0.3,2025-05-17
T000024,C00383,2025-05-12,S005,Momo,0.0,2025-05-12
T000025,C00086,2024-01-02,S019,,0.15,2024-01-02
T000026,C00075,2025-06-05,S016,Credit Card,0.0,2025-06-05
T000027,C00025,2026-01-28,S011,Momo,0.1,2026-01-28
T000028,C00073,2024-12-07,S012,Gold,0.05,2024-12-07
T000029,C00469,2026-03-22,S022,Bank Transfer,0.0,2026-03-22
T000030,C00040,2026-01-23,S016,Credit Card,0.0,2026-01-23
T000031,C00472,2024-08-27,S018,VNPay,0.0,2024-08-27
T000032,C00660,2025-02-13,S021,VNPay,0.2,2025-02-13
T000033,C00115,2025-08-14,S018,Credit Card,0.25,2025-08-14
T000034,C00269,2025-10-14,S005,VNPay,0.15,2025-10-14
T000035,C00031,2025-10-02,S020,VNPay,0.0,2025-10-02
T000036,C00195,2025-12-30,S024,Momo,0.1,2025-12-30
