transaction_id,customer_id,transaction_date,store_id,payment_method,discount_applied,transaction_date_clean,gross_amount,total_amount
T000001,C00301,2025-01-01,S018,Bank Transfer,0.2,2025-01-01,1710000.0,1368000.0
T000002,C00109,2026-01-07,S014,VNPay,0.0,2026-01-07,149082000.0,149082000.0
T000003,C00008,2024-11-29,S007,ZaloPay,0.0,2024-11-29,4836000.0,4836000.0
T000004,C00754,2025-02-26,S010,Cash,0.15,2025-02-26,5687000.0,4833950.0
T000005,C00268,2025-06-29,S023,ZaloPay,0.05,2025-06-29,71016000.0,67465200.0
T000006,C00627,2025-10-15,S008,VNPay,0.2,2025-10-15,17983000.0,14386400.0
T000007,C00055,2025-01-02,S009,Credit Card,0.0,2025-01-02,27141000.0,27141000.0
T000008,C00042,2024-08-14,S020,VNPay,0.0,2024-08-14,27700000.0,27700000.0
T000009,C00682,2025-07-21,S012,ZaloPay,0.0,2025-07-21,1448000.0,1448000.0
T000010,C00667,2026-03-06,S003,Momo,0.15,2026-03-06,3218000.0,2735300.0
T000011,C00029,2025-07-29,S007,ZaloPay,0.0,2025-07-29,27175000.0,27175000.0
T000012,C00245,2025-07-17,S002,Bank Transfer,0.0,2025-07-17,58344000.0,58344000.0
T000013,C00093,2024-09-17,S010,Momo,0.15,2024-09-17,2435000.0,2069750.0
T000014,C00143,2026-01-04,S010,Momo,0.0,2026-01-04,73059000.0,73059000.0
T000015,C00009,2026-03-20,S007,Momo,0.25,2026-03-20,24000.0,18000.0
T000016,C00107,2026-03-16,S023,VNPay,0.05,2026-03-16,6868000.0,6524600.0
T000017,C00140,2024-11-24,S003,Momo,0.0,2024-11-24,17510000.0,17510000.0
T000018,C00351,2025-06-08,S021,ZaloPay,0.05,2025-06-08,24956000.0,23708200.0
T000019,C00394,2025-12-07,S001,VNPay,0.3,2025-12-07,3780000.0,2646000.0
T000020,C00109,2024-10-03,S003,Credit Card,0.15,2024-10-03,83051000.0,70593350.0
T000021,C00085,2025-04-28,S001,VNPay,0.0,2025-04-28,10923000.0,10923000.0
T000022,C00082,2025-07-12,S005,,0.25,2025-07-12,35596000.0,26697000.0
T000023,C00164,2025-05-17,S010,VNPay,0.3,2025-05-17,1212000.0,848400.0
T000024,C00383,2025-05-12,S005,Momo,0.0,2025-05-12,4836000.0,4836000.0
T000025,C00086,2024-01-02,S019,,0.15,2024-01-02,8845000.0,7518250.0
T000026,C00075,2025-06-05,S016,Credit Card,0.0,2025-06-05,66907000.0,66907000.0
T000027,C00025,2026-01-28,S011,Momo,0.1,2026-01-28,2820000.0,2538000.0
T000028,C00073,2024-12-07,S012,Gold,0.05,2024-12-07,31232000.0,29670400.0
T000029,C00469,2026-03-22,S022,Bank Transfer,0.0,2026-03-22,0.0,0.0
T000030,C00040,2026-01-23,S016,Credit Card,0.0,2026-01-23,4785000.0,4785000.0
T000031,C00472,2024-08-27,S018,VNPay,0.0,2024-08-27,0.0,0.0
T000032,C00660,2025-02-13,S021,VNPay,0.2,2025-02-13,9396000.0,7516800.0
T000033,C00115,2025-08-14,S018,Credit Card,0.25,2025-08-14,2793000.0,2094750.0
